电影名称,综合票房,网售占比,日期
[],0,--,20200920
[],4305,0.0%,20200925
[],367018,96.7%,20200926
[],2153,21.5%,20200927
[],106857,6.7%,20200928
[],14000,41.0%,20200929
[],36,--,20200930
[],0,--,20201001
[],924883,95.6%,20201002
[],973803,96.5%,20201003
[],26604124,94.1%,20201004
[],16613319,93.6%,20201005
[],17922921,93.2%,20201006
[],20621820,93.7%,20201007
[],16276051,93.3%,20201008
[],9351054,93.7%,20201009
[],18527900,93.5%,20201010
[],24025075,93.5%,20201011
[],9973568,93.2%,20201012
[],9189761,92.8%,20201013
[],8859406,92.6%,20201014
[],7828415,92.3%,20201015
[],9152530,91.8%,20201016
[],19377774,92.3%,20201017
[],16156055,93.1%,20201018
[],6378996,93.2%,20201019
[],5801150,92.4%,20201020
[],5669505,92.0%,20201021
[],5418788,91.1%,20201022
[],3529631,93.2%,20201023
[],7256242,93.2%,20201024
[],5914614,93.7%,20201025
[],2467013,93.1%,20201026
[],2376566,92.4%,20201027
[],2370252,90.0%,20201028
[],2334938,90.9%,20201029
[],1646571,89.6%,20201030
[],4699201,92.3%,20201031
[],4344848,92.5%,20201101
[],1752917,92.5%,20201102
[],1668293,91.9%,20201103
[],1604606,91.1%,20201104
[],1502547,91.4%,20201105
[],1069648,89.2%,20201106
[],3015939,92.0%,20201107
[],2533719,92.6%,20201108
[],602469,92.6%,20201109
[],614163,91.6%,20201110
[],636836,89.6%,20201111
[],555554,86.5%,20201112
[],305390,87.2%,20201113
[],986444,90.4%,20201114
[],728881,89.8%,20201115
[],261197,89.2%,20201116
[],250066,79.3%,20201117
[],216415,81.3%,20201118
[],201239,81.4%,20201119
[],69210,66.5%,20201120
[],137264,86.8%,20201121
[],91508,91.2%,20201122
[],35757,80.2%,20201123
[],39571,71.8%,20201124
[],38787,68.5%,20201125
[],35113,63.8%,20201126
[],45878,19.1%,20201127
[],43701,55.3%,20201128
[],22456,60.0%,20201129
[],9525,69.5%,20201130
[],12061,55.0%,20201201
[],15191,34.1%,20201202
[],9078,49.6%,20201203
[],3960,23.4%,20201204
[],0,--,20201210
[],5160,0.0%,20201214
[],0,--,20201218
[],0,--,20201219
[],0,--,20201226
[],0,--,20210220
[],450,0.0%,20210430
[],644,6.8%,20210506
[],686,25.6%,20210508
[],562,83.4%,20211001
[],1306,92.3%,20211002
[],638,96.8%,20211003
[],1352,88.1%,20211004
[],1549,93.2%,20211005
[],799,96.2%,20211006
[],707,54.7%,20211007
[],7868,61.7%,20211008
[],10573,58.7%,20211009
[],5215,53.5%,20211010
[],4610,89.6%,20211011
[],5697,50.2%,20211012
[],4473,76.9%,20211013
[],3908,75.2%,20211014
[],1432,86.7%,20211015
[],8096,72.8%,20211016
[],9630,90.5%,20211017
[],9992,95.6%,20211018
[],12968,95.0%,20211019
[],10906,96.4%,20211020
[],10589,87.5%,20211021
[],6779,90.7%,20211022
[],140,36.0%,20211023
[],596,66.8%,20211024
[],6952,98.5%,20211025
[],3617,70.8%,20211026
[],26696,47.2%,20211027
[],2945,72.2%,20211028
[],1659,42.1%,20211029
[],963,26.3%,20211030
[],28958,46.6%,20211031
[],1410,96.4%,20211101
[],1400,90.6%,20211102
[],1219,90.9%,20211103
[],1277,90.2%,20211104
[],423,91.7%,20211105
[],64,100.0%,20211106
[],20,100.0%,20211107
[],783,--,20211108
[],1019,--,20211109
[],1279,97.6%,20211110
[],544,78.8%,20211111
[],59,66.5%,20211112
[],183,59.0%,20211113
[],0,--,20211114
[],324,100.0%,20211115
[],1551,91.3%,20211116
[],190,63.1%,20211117
[],779,100.0%,20211118
[],267,81.3%,20211119
[],0,--,20211120
[],60,100.0%,20211121
[],585,--,20211122
[],1697,97.8%,20211123
[],335,100.0%,20211124
[],1015,94.5%,20211125
[],204,31.3%,20211126
[],1732,7.6%,20211127
[],2413,0.5%,20211128
[],1775,91.1%,20211129
[],824,95.7%,20211130
[],8,--,20211201
[],0,--,20211202
[],0,--,20211203
[],0,--,20211204
[],0,--,20211205
[],0,--,20211206
[],0,--,20211207
[],0,--,20211208
[],0,--,20211209
[],0,--,20211210
[],0,--,20211211
[],0,--,20211213
[],0,--,20211214
[],0,--,20211215
[],0,--,20211216
[],0,--,20211220
[],0,--,20211221
[],0,--,20211222
[],0,--,20211223
[],0,--,20211227
[],0,--,20211228
[],0,--,20211230
[],0,--,20220428
[],0,--,20220429
[],562,83.4%,20211001
[],1306,92.3%,20211002
[],638,96.8%,20211003
[],1352,88.1%,20211004
[],1549,93.2%,20211005
[],799,96.2%,20211006
[],707,54.7%,20211007
[],7868,61.7%,20211008
[],10573,58.7%,20211009
[],5215,53.5%,20211010
[],4610,89.6%,20211011
[],5697,50.2%,20211012
[],4473,76.9%,20211013
[],3908,75.2%,20211014
[],1432,86.7%,20211015
[],8096,72.8%,20211016
[],9630,90.5%,20211017
[],9992,95.6%,20211018
[],12968,95.0%,20211019
[],10906,96.4%,20211020
[],10589,87.5%,20211021
[],6779,90.7%,20211022
[],140,36.0%,20211023
[],596,66.8%,20211024
[],6952,98.5%,20211025
[],3617,70.8%,20211026
[],26696,47.2%,20211027
[],2945,72.2%,20211028
[],1659,42.1%,20211029
[],963,26.3%,20211030
[],28958,46.6%,20211031
[],36164,84.5%,20220430
[],39746,79.5%,20220501
[],24485,83.7%,20220502
[],16361,81.1%,20220503
[],13959,57.7%,20220504
[],5607,86.8%,20220505
[],5994,84.5%,20220506
[],8043,79.6%,20220507
[],10304,84.8%,20220508
[],5578,85.9%,20220509
[],7023,76.7%,20220510
[],5855,90.7%,20220511
[],3989,87.5%,20220512
[],18589,24.2%,20220513
[],9890,82.9%,20220514
[],11723,86.1%,20220515
[],7128,51.6%,20220516
[],4605,87.3%,20220517
[],4130,84.0%,20220518
[],4148,75.7%,20220519
[],3850,87.0%,20220520
[],6520,57.7%,20220521
[],4191,59.7%,20220522
[],1937,60.5%,20220523
[],2842,37.4%,20220524
[],1253,82.0%,20220525
[],1289,82.2%,20220526
[],1586,77.1%,20220527
[],1553,85.8%,20220528
[],1623,81.8%,20220529
[],676,85.2%,20220530
[],2909,0.0%,20220701
[],300,0.0%,20220702
[],80,0.0%,20220703
[],0,--,20220704
[],0,--,20220705
[],0,--,20220706
[],0,--,20220707
[],0,--,20220710
[],0,--,20220711
[],0,--,20220712
[],0,--,20220713
[],0,--,20220718
[],0,--,20220720
[],0,--,20220721
[],0,--,20220727
[],0,--,20220728
